index,mean,std,percentile,name,meanhue,std hue
275,165.2924309,9.287954308,0.093660714,C:\opencv\whitecolor\Images\White Diamond 110107888315\White Diamond 110107888315\110107888315\2015-06-23_13.14\1.JPG,0.004615939,0.027261806
276,164.9535303,8.750030644,0.093071429,C:\opencv\whitecolor\Images\White Diamond 110107888315\White Diamond 110107888315\110107888315\2015-06-23_13.14\10.JPG,0.004492863,0.023438943
277,164.6540503,9.123223279,0.092189286,C:\opencv\whitecolor\Images\White Diamond 110107888315\White Diamond 110107888315\110107888315\2015-06-23_13.14\100.JPG,0.00510847,0.041663191
278,163.4536641,11.89559861,0.094303571,C:\opencv\whitecolor\Images\White Diamond 110107888315\White Diamond 110107888315\110107888315\2015-06-23_13.14\101.JPG,0.033926169,0.233338146
279,164.4145409,9.466359129,0.093382143,C:\opencv\whitecolor\Images\White Diamond 110107888315\White Diamond 110107888315\110107888315\2015-06-23_13.14\102.JPG,0.004616699,0.045187942
280,164.0544959,9.350871215,0.093060714,C:\opencv\whitecolor\Images\White Diamond 110107888315\White Diamond 110107888315\110107888315\2015-06-23_13.14\103.JPG,0.004588689,0.045830913
281,164.4204988,9.484955188,0.092653571,C:\opencv\whitecolor\Images\White Diamond 110107888315\White Diamond 110107888315\110107888315\2015-06-23_13.14\104.JPG,0.009733336,0.084721153
282,165.1511158,8.145061497,0.091864286,C:\opencv\whitecolor\Images\White Diamond 110107888315\White Diamond 110107888315\110107888315\2015-06-23_13.14\105.JPG,0.004796408,0.044868159
283,165.1475684,8.012631453,0.091725,C:\opencv\whitecolor\Images\White Diamond 110107888315\White Diamond 110107888315\110107888315\2015-06-23_13.14\106.JPG,0.004917957,0.042750724
284,164.9360931,8.279493789,0.093607143,C:\opencv\whitecolor\Images\White Diamond 110107888315\White Diamond 110107888315\110107888315\2015-06-23_13.14\107.JPG,0.004886998,0.039342274
285,164.7464832,9.193286159,0.093175,C:\opencv\whitecolor\Images\White Diamond 110107888315\White Diamond 110107888315\110107888315\2015-06-23_13.14\108.JPG,0.006098734,0.04532842
286,164.580375,10.10625027,0.090846429,C:\opencv\whitecolor\Images\White Diamond 110107888315\White Diamond 110107888315\110107888315\2015-06-23_13.14\109.JPG,0.01584658,0.12843213
287,164.8210251,10.12962365,0.091353571,C:\opencv\whitecolor\Images\White Diamond 110107888315\White Diamond 110107888315\110107888315\2015-06-23_13.14\11.JPG,0.015418274,0.125395253
288,164.6092995,9.564005359,0.093860714,C:\opencv\whitecolor\Images\White Diamond 110107888315\White Diamond 110107888315\110107888315\2015-06-23_13.14\110.JPG,0.004739631,0.028603803
289,165.3586639,10.13134428,0.085535714,C:\opencv\whitecolor\Images\White Diamond 110107888315\White Diamond 110107888315\110107888315\2015-06-23_13.14\111.JPG,0.009290803,0.078320743
290,164.5918685,10.30345729,0.094078571,C:\opencv\whitecolor\Images\White Diamond 110107888315\White Diamond 110107888315\110107888315\2015-06-23_13.14\112.JPG,0.009624905,0.084211495
291,165.1525326,9.420093739,0.092860714,C:\opencv\whitecolor\Images\White Diamond 110107888315\White Diamond 110107888315\110107888315\2015-06-23_13.14\12.JPG,0.00419209,0.005791313
292,165.0031914,10.43854174,0.092882143,C:\opencv\whitecolor\Images\White Diamond 110107888315\White Diamond 110107888315\110107888315\2015-06-23_13.14\13.JPG,0.011820159,0.119624105
