index,mean,std,percentile,name,mean hue,std hue
6880,161.1474131,25.22904467,0.102578571,C:\opencv\nonwhite\626\626439\626439_CV023_StoneImage112_2016-11-16_091713.JPG,0.086051955,0.366638418
6881,166.3783898,34.20384121,0.084285714,C:\opencv\nonwhite\626\626439\626439_CV023_StoneImage36_2016-11-16_091713.JPG,0.108910088,0.406879497
6882,158.3478459,25.64149269,0.101882143,C:\opencv\nonwhite\626\626439\626439_CV023_StoneImage74_2016-11-16_091713.JPG,0.098297711,0.410503663
6883,168.2795813,24.70392971,0.056985714,C:\opencv\nonwhite\626\626546\626546_CV023_StoneImage112_2016-11-16_091952.JPG,0.077133382,0.355189565
6884,167.0756972,24.2747337,0.057371429,C:\opencv\nonwhite\626\626546\626546_CV023_StoneImage36_2016-11-16_091952.JPG,0.071005038,0.337483103
6885,166.4860831,26.97291676,0.058382143,C:\opencv\nonwhite\626\626546\626546_CV023_StoneImage74_2016-11-16_091952.JPG,0.084083716,0.366032183
6886,158.4587408,24.71232673,0.046742857,C:\opencv\nonwhite\626\6267\6267_CV020_StoneImage112_2018-05-07_075803.JPG,0.124610893,0.452747221
6887,163.5434665,24.85978576,0.046053571,C:\opencv\nonwhite\626\6267\6267_CV020_StoneImage36_2018-05-07_075803.JPG,0.08909084,0.379497836
6888,160.0082959,24.29224577,0.046064286,C:\opencv\nonwhite\626\6267\6267_CV020_StoneImage74_2018-05-07_075803.JPG,0.103294785,0.395463427
6889,151.9295928,27.29167336,0.05245,C:\opencv\nonwhite\626\6267541\6267541_CV034_StoneImage112_2016-11-08_123722.JPG,0.194603853,0.50576203
6890,153.4578161,29.47727393,0.056682143,C:\opencv\nonwhite\626\6267541\6267541_CV034_StoneImage36_2016-11-08_123722.JPG,0.177835363,0.501814647
6891,157.4663535,31.15297498,0.053975,C:\opencv\nonwhite\626\6267541\6267541_CV034_StoneImage74_2016-11-08_123722.JPG,0.19060374,0.520102739
6892,151.2659133,27.19563934,0.053414286,C:\opencv\nonwhite\626\6267541\6267541_CV035_StoneImage112_2019-02-11_053553.JPG,0.19567512,0.515241089
6893,155.3801945,31.81567818,0.053628571,C:\opencv\nonwhite\626\6267541\6267541_CV035_StoneImage36_2019-02-11_053553.JPG,0.187801228,0.514190554
6894,153.0263445,32.88752023,0.052328571,C:\opencv\nonwhite\626\6267541\6267541_CV035_StoneImage74_2019-02-11_053553.JPG,0.213455133,0.539058323
6895,144.3148309,27.23592856,0.053532143,C:\opencv\nonwhite\626\6267541\6267541_CV039_StoneImage113_2018-01-10_204322.JPG,0.272146949,0.614818792
6896,146.5180949,26.84016693,0.055264286,C:\opencv\nonwhite\626\6267541\6267541_CV039_StoneImage37_2018-01-10_204322.JPG,0.217019533,0.550901914
6897,146.004716,27.90001937,0.053010714,C:\opencv\nonwhite\626\6267541\6267541_CV039_StoneImage75_2018-01-10_204322.JPG,0.22405649,0.572213072
